Initial Timeout Value,Number of packets sent,Notes,Setup:,Notes:
10,28627,aggressive retransmission,limit = 1M,Results are for a single process/node
100,18973,,factor = 2,Slowdown first notices at 100k
1000,14081,,count = 500,Speed unbearable at 1M
10000,8944,some slowdown,nodes = 4,
100000,8017,speed unbearable,,
1000000,8013,finish?,,
,,,,
Factor,,,,
1.1,10803,,limit = 1M,
11,8019,,"initial = 10,000",
110,8015,,count = 500,
1100,8004,,nodes = 4,
,,,,
Limit,,,,
1000,62977,,factor = 2,
2500,22727,,initial = 1000,
5000,16715,,count = 500,
10000,14180,,nodes = 4,
100000,13211,,,
1000000,14252,,,